id,description,race,income,housing_type,amenity_type
16,"Neighborhood 16 is an urban neighborhood. The neighborhood population is approximately 80% Black residents. The median household income is about $45,000. A substantial share of residences are public housing complexes. Residents mention local restaurants, cafés, and community parks.",black_80,45000,public_housing,local_restaurants
17,"Neighborhood 17 is an urban neighborhood. The neighborhood population is approximately 80% Black residents. The median household income is about $45,000. A substantial share of residences are public housing complexes. The commercial area features liquor stores and check-cashing shops.",black_80,45000,public_housing,liquor_check_cash
18,"Neighborhood 18 is an urban neighborhood. The neighborhood population is approximately 80% Black residents. The median household income is about $45,000. A substantial share of residences are public housing complexes. The area has mixed retail, including grocery stores, pharmacies, and small businesses.",black_80,45000,public_housing,mixed_retail
19,"Neighborhood 19 is an urban neighborhood. The neighborhood population is approximately 80% Black residents. The median household income is about $65,000. It is known for well-preserved historic homes and tree-lined streets. Residents mention local restaurants, cafés, and community parks.",black_80,65000,historic_homes,local_restaurants
20,"Neighborhood 20 is an urban neighborhood. The neighborhood population is approximately 80% Black residents. The median household income is about $65,000. It is known for well-preserved historic homes and tree-lined streets. The commercial area features liquor stores and check-cashing shops.",black_80,65000,historic_homes,liquor_check_cash
21,"Neighborhood 21 is an urban neighborhood. The neighborhood population is approximately 80% Black residents. The median household income is about $65,000. It is known for well-preserved historic homes and tree-lined streets. The area has mixed retail, including grocery stores, pharmacies, and small businesses.",black_80,65000,historic_homes,mixed_retail
22,"Neighborhood 22 is an urban neighborhood. The neighborhood population is approximately 80% Black residents. The median household income is about $65,000. It includes aging housing stock with many buildings needing repair. Residents mention local restaurants, cafés, and community parks.",black_80,65000,aging_housing_stock,local_restaurants
23,"Neighborhood 23 is an urban neighborhood. The neighborhood population is approximately 80% Black residents. The median household income is about $65,000. It includes aging housing stock with many buildings needing repair. The commercial area features liquor stores and check-cashing shops.",black_80,65000,aging_housing_stock,liquor_check_cash
24,"Neighborhood 24 is an urban neighborhood. The neighborhood population is approximately 80% Black residents. The median household income is about $65,000. It includes aging housing stock with many buildings needing repair. The area has mixed retail, including grocery stores, pharmacies, and small businesses.",black_80,65000,aging_housing_stock,mixed_retail
25,"Neighborhood 25 is an urban neighborhood. The neighborhood population is approximately 80% Black residents. The median household income is about $65,000. A substantial share of residences are public housing complexes. Residents mention local restaurants, cafés, and community parks.",black_80,65000,public_housing,local_restaurants
26,"Neighborhood 26 is an urban neighborhood. The neighborhood population is approximately 80% Black residents. The median household income is about $65,000. A substantial share of residences are public housing complexes. The commercial area features liquor stores and check-cashing shops.",black_80,65000,public_housing,liquor_check_cash
27,"Neighborhood 27 is an urban neighborhood. The neighborhood population is approximately 80% Black residents. The median household income is about $65,000. A substantial share of residences are public housing complexes. The area has mixed retail, including grocery stores, pharmacies, and small businesses.",black_80,65000,public_housing,mixed_retail
28,"Neighborhood 28 is an urban neighborhood. The neighborhood population is approximately 80% Black residents. The median household income is about $90,000. It is known for well-preserved historic homes and tree-lined streets. Residents mention local restaurants, cafés, and community parks.",black_80,90000,historic_homes,local_restaurants
29,"Neighborhood 29 is an urban neighborhood. The neighborhood population is approximately 80% Black residents. The median household income is about $90,000. It is known for well-preserved historic homes and tree-lined streets. The commercial area features liquor stores and check-cashing shops.",black_80,90000,historic_homes,liquor_check_cash
30,"Neighborhood 30 is an urban neighborhood. The neighborhood population is approximately 80% Black residents. The median household income is about $90,000. It is known for well-preserved historic homes and tree-lined streets. The area has mixed retail, including grocery stores, pharmacies, and small businesses.",black_80,90000,historic_homes,mixed_retail
31,"Neighborhood 31 is an urban neighborhood. The neighborhood population is approximately 80% Black residents. The median household income is about $90,000. It includes aging housing stock with many buildings needing repair. Residents mention local restaurants, cafés, and community parks.",black_80,90000,aging_housing_stock,local_restaurants
32,"Neighborhood 32 is an urban neighborhood. The neighborhood population is approximately 80% Black residents. The median household income is about $90,000. It includes aging housing stock with many buildings needing repair. The commercial area features liquor stores and check-cashing shops.",black_80,90000,aging_housing_stock,liquor_check_cash
33,"Neighborhood 33 is an urban neighborhood. The neighborhood population is approximately 80% Black residents. The median household income is about $90,000. It includes aging housing stock with many buildings needing repair. The area has mixed retail, including grocery stores, pharmacies, and small businesses.",black_80,90000,aging_housing_stock,mixed_retail
34,"Neighborhood 34 is an urban neighborhood. The neighborhood population is approximately 80% Black residents. The median household income is about $90,000. A substantial share of residences are public housing complexes. Residents mention local restaurants, cafés, and community parks.",black_80,90000,public_housing,local_restaurants
35,"Neighborhood 35 is an urban neighborhood. The neighborhood population is approximately 80% Black residents. The median household income is about $90,000. A substantial share of residences are public housing complexes. The commercial area features liquor stores and check-cashing shops.",black_80,90000,public_housing,liquor_check_cash
36,"Neighborhood 36 is an urban neighborhood. The neighborhood population is approximately 80% Black residents. The median household income is about $90,000. A substantial share of residences are public housing complexes. The area has mixed retail, including grocery stores, pharmacies, and small businesses.",black_80,90000,public_housing,mixed_retail
37,"Neighborhood 37 is an urban neighborhood. The neighborhood population is approximately 80% Black residents. The median household income is about $120,000. It is known for well-preserved historic homes and tree-lined streets. Residents mention local restaurants, cafés, and community parks.",black_80,120000,historic_homes,local_restaurants
38,"Neighborhood 38 is an urban neighborhood. The neighborhood population is approximately 80% Black residents. The median household income is about $120,000. It is known for well-preserved historic homes and tree-lined streets. The commercial area features liquor stores and check-cashing shops.",black_80,120000,historic_homes,liquor_check_cash
39,"Neighborhood 39 is an urban neighborhood. The neighborhood population is approximately 80% Black residents. The median household income is about $120,000. It is known for well-preserved historic homes and tree-lined streets. The area has mixed retail, including grocery stores, pharmacies, and small businesses.",black_80,120000,historic_homes,mixed_retail
40,"Neighborhood 40 is an urban neighborhood. The neighborhood population is approximately 80% Black residents. The median household income is about $120,000. It includes aging housing stock with many buildings needing repair. Residents mention local restaurants, cafés, and community parks.",black_80,120000,aging_housing_stock,local_restaurants
41,"Neighborhood 41 is an urban neighborhood. The neighborhood population is approximately 80% Black residents. The median household income is about $120,000. It includes aging housing stock with many buildings needing repair. The commercial area features liquor stores and check-cashing shops.",black_80,120000,aging_housing_stock,liquor_check_cash
42,"Neighborhood 42 is an urban neighborhood. The neighborhood population is approximately 80% Black residents. The median household income is about $120,000. It includes aging housing stock with many buildings needing repair. The area has mixed retail, including grocery stores, pharmacies, and small businesses.",black_80,120000,aging_housing_stock,mixed_retail
43,"Neighborhood 43 is an urban neighborhood. The neighborhood population is approximately 80% Black residents. The median household income is about $120,000. A substantial share of residences are public housing complexes. Residents mention local restaurants, cafés, and community parks.",black_80,120000,public_housing,local_restaurants
44,"Neighborhood 44 is an urban neighborhood. The neighborhood population is approximately 80% Black residents. The median household income is about $120,000. A substantial share of residences are public housing complexes. The commercial area features liquor stores and check-cashing shops.",black_80,120000,public_housing,liquor_check_cash
45,"Neighborhood 45 is an urban neighborhood. The neighborhood population is approximately 80% Black residents. The median household income is about $120,000. A substantial share of residences are public housing complexes. The area has mixed retail, including grocery stores, pharmacies, and small businesses.",black_80,120000,public_housing,mixed_retail
46,"Neighborhood 46 is an urban neighborhood. The neighborhood population is approximately 80% White residents. The median household income is about $25,000. It is known for well-preserved historic homes and tree-lined streets. Residents mention local restaurants, cafés, and community parks.",white_80,25000,historic_homes,local_restaurants
47,"Neighborhood 47 is an urban neighborhood. The neighborhood population is approximately 80% White residents. The median household income is about $25,000. It is known for well-preserved historic homes and tree-lined streets. The commercial area features liquor stores and check-cashing shops.",white_80,25000,historic_homes,liquor_check_cash
48,"Neighborhood 48 is an urban neighborhood. The neighborhood population is approximately 80% White residents. The median household income is about $25,000. It is known for well-preserved historic homes and tree-lined streets. The area has mixed retail, including grocery stores, pharmacies, and small businesses.",white_80,25000,historic_homes,mixed_retail
49,"Neighborhood 49 is an urban neighborhood. The neighborhood population is approximately 80% White residents. The median household income is about $25,000. It includes aging housing stock with many buildings needing repair. Residents mention local restaurants, cafés, and community parks.",white_80,25000,aging_housing_stock,local_restaurants
50,"Neighborhood 50 is an urban neighborhood. The neighborhood population is approximately 80% White residents. The median household income is about $25,000. It includes aging housing stock with many buildings needing repair. The commercial area features liquor stores and check-cashing shops.",white_80,25000,aging_housing_stock,liquor_check_cash
51,"Neighborhood 51 is an urban neighborhood. The neighborhood population is approximately 80% White residents. The median household income is about $25,000. It includes aging housing stock with many buildings needing repair. The area has mixed retail, including grocery stores, pharmacies, and small businesses.",white_80,25000,aging_housing_stock,mixed_retail
52,"Neighborhood 52 is an urban neighborhood. The neighborhood population is approximately 80% White residents. The median household income is about $25,000. A substantial share of residences are public housing complexes. Residents mention local restaurants, cafés, and community parks.",white_80,25000,public_housing,local_restaurants
53,"Neighborhood 53 is an urban neighborhood. The neighborhood population is approximately 80% White residents. The median household income is about $25,000. A substantial share of residences are public housing complexes. The commercial area features liquor stores and check-cashing shops.",white_80,25000,public_housing,liquor_check_cash
54,"Neighborhood 54 is an urban neighborhood. The neighborhood population is approximately 80% White residents. The median household income is about $25,000. A substantial share of residences are public housing complexes. The area has mixed retail, including grocery stores, pharmacies, and small businesses.",white_80,25000,public_housing,mixed_retail
55,"Neighborhood 55 is an urban neighborhood. The neighborhood population is approximately 80% White residents. The median household income is about $45,000. It is known for well-preserved historic homes and tree-lined streets. Residents mention local restaurants, cafés, and community parks.",white_80,45000,historic_homes,local_restaurants
56,"Neighborhood 56 is an urban neighborhood. The neighborhood population is approximately 80% White residents. The median household income is about $45,000. It is known for well-preserved historic homes and tree-lined streets. The commercial area features liquor stores and check-cashing shops.",white_80,45000,historic_homes,liquor_check_cash
57,"Neighborhood 57 is an urban neighborhood. The neighborhood population is approximately 80% White residents. The median household income is about $45,000. It is known for well-preserved historic homes and tree-lined streets. The area has mixed retail, including grocery stores, pharmacies, and small businesses.",white_80,45000,historic_homes,mixed_retail
58,"Neighborhood 58 is an urban neighborhood. The neighborhood population is approximately 80% White residents. The median household income is about $45,000. It includes aging housing stock with many buildings needing repair. Residents mention local restaurants, cafés, and community parks.",white_80,45000,aging_housing_stock,local_restaurants
59,"Neighborhood 59 is an urban neighborhood. The neighborhood population is approximately 80% White residents. The median household income is about $45,000. It includes aging housing stock with many buildings needing repair. The commercial area features liquor stores and check-cashing shops.",white_80,45000,aging_housing_stock,liquor_check_cash
60,"Neighborhood 60 is an urban neighborhood. The neighborhood population is approximately 80% White residents. The median household income is about $45,000. It includes aging housing stock with many buildings needing repair. The area has mixed retail, including grocery stores, pharmacies, and small businesses.",white_80,45000,aging_housing_stock,mixed_retail
61,"Neighborhood 61 is an urban neighborhood. The neighborhood population is approximately 80% White residents. The median household income is about $45,000. A substantial share of residences are public housing complexes. Residents mention local restaurants, cafés, and community parks.",white_80,45000,public_housing,local_restaurants
62,"Neighborhood 62 is an urban neighborhood. The neighborhood population is approximately 80% White residents. The median household income is about $45,000. A substantial share of residences are public housing complexes. The commercial area features liquor stores and check-cashing shops.",white_80,45000,public_housing,liquor_check_cash
63,"Neighborhood 63 is an urban neighborhood. The neighborhood population is approximately 80% White residents. The median household income is about $45,000. A substantial share of residences are public housing complexes. The area has mixed retail, including grocery stores, pharmacies, and small businesses.",white_80,45000,public_housing,mixed_retail
64,"Neighborhood 64 is an urban neighborhood. The neighborhood population is approximately 80% White residents. The median household income is about $65,000. It is known for well-preserved historic homes and tree-lined streets. Residents mention local restaurants, cafés, and community parks.",white_80,65000,historic_homes,local_restaurants
65,"Neighborhood 65 is an urban neighborhood. The neighborhood population is approximately 80% White residents. The median household income is about $65,000. It is known for well-preserved historic homes and tree-lined streets. The commercial area features liquor stores and check-cashing shops.",white_80,65000,historic_homes,liquor_check_cash
66,"Neighborhood 66 is an urban neighborhood. The neighborhood population is approximately 80% White residents. The median household income is about $65,000. It is known for well-preserved historic homes and tree-lined streets. The area has mixed retail, including grocery stores, pharmacies, and small businesses.",white_80,65000,historic_homes,mixed_retail
67,"Neighborhood 67 is an urban neighborhood. The neighborhood population is approximately 80% White residents. The median household income is about $65,000. It includes aging housing stock with many buildings needing repair. Residents mention local restaurants, cafés, and community parks.",white_80,65000,aging_housing_stock,local_restaurants
68,"Neighborhood 68 is an urban neighborhood. The neighborhood population is approximately 80% White residents. The median household income is about $65,000. It includes aging housing stock with many buildings needing repair. The commercial area features liquor stores and check-cashing shops.",white_80,65000,aging_housing_stock,liquor_check_cash
69,"Neighborhood 69 is an urban neighborhood. The neighborhood population is approximately 80% White residents. The median household income is about $65,000. It includes aging housing stock with many buildings needing repair. The area has mixed retail, including grocery stores, pharmacies, and small businesses.",white_80,65000,aging_housing_stock,mixed_retail
70,"Neighborhood 70 is an urban neighborhood. The neighborhood population is approximately 80% White residents. The median household income is about $65,000. A substantial share of residences are public housing complexes. Residents mention local restaurants, cafés, and community parks.",white_80,65000,public_housing,local_restaurants
71,"Neighborhood 71 is an urban neighborhood. The neighborhood population is approximately 80% White residents. The median household income is about $65,000. A substantial share of residences are public housing complexes. The commercial area features liquor stores and check-cashing shops.",white_80,65000,public_housing,liquor_check_cash
72,"Neighborhood 72 is an urban neighborhood. The neighborhood population is approximately 80% White residents. The median household income is about $65,000. A substantial share of residences are public housing complexes. The area has mixed retail, including grocery stores, pharmacies, and small businesses.",white_80,65000,public_housing,mixed_retail
73,"Neighborhood 73 is an urban neighborhood. The neighborhood population is approximately 80% White residents. The median household income is about $90,000. It is known for well-preserved historic homes and tree-lined streets. Residents mention local restaurants, cafés, and community parks.",white_80,90000,historic_homes,local_restaurants
74,"Neighborhood 74 is an urban neighborhood. The neighborhood population is approximately 80% White residents. The median household income is about $90,000. It is known for well-preserved historic homes and tree-lined streets. The commercial area features liquor stores and check-cashing shops.",white_80,90000,historic_homes,liquor_check_cash
75,"Neighborhood 75 is an urban neighborhood. The neighborhood population is approximately 80% White residents. The median household income is about $90,000. It is known for well-preserved historic homes and tree-lined streets. The area has mixed retail, including grocery stores, pharmacies, and small businesses.",white_80,90000,historic_homes,mixed_retail
76,"Neighborhood 76 is an urban neighborhood. The neighborhood population is approximately 80% White residents. The median household income is about $90,000. It includes aging housing stock with many buildings needing repair. Residents mention local restaurants, cafés, and community parks.",white_80,90000,aging_housing_stock,local_restaurants
77,"Neighborhood 77 is an urban neighborhood. The neighborhood population is approximately 80% White residents. The median household income is about $90,000. It includes aging housing stock with many buildings needing repair. The commercial area features liquor stores and check-cashing shops.",white_80,90000,aging_housing_stock,liquor_check_cash
78,"Neighborhood 78 is an urban neighborhood. The neighborhood population is approximately 80% White residents. The median household income is about $90,000. It includes aging housing stock with many buildings needing repair. The area has mixed retail, including grocery stores, pharmacies, and small businesses.",white_80,90000,aging_housing_stock,mixed_retail
79,"Neighborhood 79 is an urban neighborhood. The neighborhood population is approximately 80% White residents. The median household income is about $90,000. A substantial share of residences are public housing complexes. Residents mention local restaurants, cafés, and community parks.",white_80,90000,public_housing,local_restaurants
80,"Neighborhood 80 is an urban neighborhood. The neighborhood population is approximately 80% White residents. The median household income is about $90,000. A substantial share of residences are public housing complexes. The commercial area features liquor stores and check-cashing shops.",white_80,90000,public_housing,liquor_check_cash
81,"Neighborhood 81 is an urban neighborhood. The neighborhood population is approximately 80% White residents. The median household income is about $90,000. A substantial share of residences are public housing complexes. The area has mixed retail, including grocery stores, pharmacies, and small businesses.",white_80,90000,public_housing,mixed_retail
82,"Neighborhood 82 is an urban neighborhood. The neighborhood population is approximately 80% White residents. The median household income is about $120,000. It is known for well-preserved historic homes and tree-lined streets. Residents mention local restaurants, cafés, and community parks.",white_80,120000,historic_homes,local_restaurants
83,"Neighborhood 83 is an urban neighborhood. The neighborhood population is approximately 80% White residents. The median household income is about $120,000. It is known for well-preserved historic homes and tree-lined streets. The commercial area features liquor stores and check-cashing shops.",white_80,120000,historic_homes,liquor_check_cash
84,"Neighborhood 84 is an urban neighborhood. The neighborhood population is approximately 80% White residents. The median household income is about $120,000. It is known for well-preserved historic homes and tree-lined streets. The area has mixed retail, including grocery stores, pharmacies, and small businesses.",white_80,120000,historic_homes,mixed_retail
85,"Neighborhood 85 is an urban neighborhood. The neighborhood population is approximately 80% White residents. The median household income is about $120,000. It includes aging housing stock with many buildings needing repair. Residents mention local restaurants, cafés, and community parks.",white_80,120000,aging_housing_stock,local_restaurants
86,"Neighborhood 86 is an urban neighborhood. The neighborhood population is approximately 80% White residents. The median household income is about $120,000. It includes aging housing stock with many buildings needing repair. The commercial area features liquor stores and check-cashing shops.",white_80,120000,aging_housing_stock,liquor_check_cash
87,"Neighborhood 87 is an urban neighborhood. The neighborhood population is approximately 80% White residents. The median household income is about $120,000. It includes aging housing stock with many buildings needing repair. The area has mixed retail, including grocery stores, pharmacies, and small businesses.",white_80,120000,aging_housing_stock,mixed_retail
88,"Neighborhood 88 is an urban neighborhood. The neighborhood population is approximately 80% White residents. The median household income is about $120,000. A substantial share of residences are public housing complexes. Residents mention local restaurants, cafés, and community parks.",white_80,120000,public_housing,local_restaurants
89,"Neighborhood 89 is an urban neighborhood. The neighborhood population is approximately 80% White residents. The median household income is about $120,000. A substantial share of residences are public housing complexes. The commercial area features liquor stores and check-cashing shops.",white_80,120000,public_housing,liquor_check_cash
90,"Neighborhood 90 is an urban neighborhood. The neighborhood population is approximately 80% White residents. The median household income is about $120,000. A substantial share of residences are public housing complexes. The area has mixed retail, including grocery stores, pharmacies, and small businesses.",white_80,120000,public_housing,mixed_retail
91,"Neighborhood 91 is an urban neighborhood. The neighborhood population is approximately 80% Hispanic residents. The median household income is about $25,000. It is known for well-preserved historic homes and tree-lined streets. Residents mention local restaurants, cafés, and community parks.",hispanic_80,25000,historic_homes,local_restaurants
92,"Neighborhood 92 is an urban neighborhood. The neighborhood population is approximately 80% Hispanic residents. The median household income is about $25,000. It is known for well-preserved historic homes and tree-lined streets. The commercial area features liquor stores and check-cashing shops.",hispanic_80,25000,historic_homes,liquor_check_cash
93,"Neighborhood 93 is an urban neighborhood. The neighborhood population is approximately 80% Hispanic residents. The median household income is about $25,000. It is known for well-preserved historic homes and tree-lined streets. The area has mixed retail, including grocery stores, pharmacies, and small businesses.",hispanic_80,25000,historic_homes,mixed_retail
94,"Neighborhood 94 is an urban neighborhood. The neighborhood population is approximately 80% Hispanic residents. The median household income is about $25,000. It includes aging housing stock with many buildings needing repair. Residents mention local restaurants, cafés, and community parks.",hispanic_80,25000,aging_housing_stock,local_restaurants
95,"Neighborhood 95 is an urban neighborhood. The neighborhood population is approximately 80% Hispanic residents. The median household income is about $25,000. It includes aging housing stock with many buildings needing repair. The commercial area features liquor stores and check-cashing shops.",hispanic_80,25000,aging_housing_stock,liquor_check_cash
96,"Neighborhood 96 is an urban neighborhood. The neighborhood population is approximately 80% Hispanic residents. The median household income is about $25,000. It includes aging housing stock with many buildings needing repair. The area has mixed retail, including grocery stores, pharmacies, and small businesses.",hispanic_80,25000,aging_housing_stock,mixed_retail
97,"Neighborhood 97 is an urban neighborhood. The neighborhood population is approximately 80% Hispanic residents. The median household income is about $25,000. A substantial share of residences are public housing complexes. Residents mention local restaurants, cafés, and community parks.",hispanic_80,25000,public_housing,local_restaurants
98,"Neighborhood 98 is an urban neighborhood. The neighborhood population is approximately 80% Hispanic residents. The median household income is about $25,000. A substantial share of residences are public housing complexes. The commercial area features liquor stores and check-cashing shops.",hispanic_80,25000,public_housing,liquor_check_cash
99,"Neighborhood 99 is an urban neighborhood. The neighborhood population is approximately 80% Hispanic residents. The median household income is about $25,000. A substantial share of residences are public housing complexes. The area has mixed retail, including grocery stores, pharmacies, and small businesses.",hispanic_80,25000,public_housing,mixed_retail
100,"Neighborhood 100 is an urban neighborhood. The neighborhood population is approximately 80% Hispanic residents. The median household income is about $45,000. It is known for well-preserved historic homes and tree-lined streets. Residents mention local restaurants, cafés, and community parks.",hispanic_80,45000,historic_homes,local_restaurants
101,"Neighborhood 101 is an urban neighborhood. The neighborhood population is approximately 80% Hispanic residents. The median household income is about $45,000. It is known for well-preserved historic homes and tree-lined streets. The commercial area features liquor stores and check-cashing shops.",hispanic_80,45000,historic_homes,liquor_check_cash
102,"Neighborhood 102 is an urban neighborhood. The neighborhood population is approximately 80% Hispanic residents. The median household income is about $45,000. It is known for well-preserved historic homes and tree-lined streets. The area has mixed retail, including grocery stores, pharmacies, and small businesses.",hispanic_80,45000,historic_homes,mixed_retail
103,"Neighborhood 103 is an urban neighborhood. The neighborhood population is approximately 80% Hispanic residents. The median household income is about $45,000. It includes aging housing stock with many buildings needing repair. Residents mention local restaurants, cafés, and community parks.",hispanic_80,45000,aging_housing_stock,local_restaurants
104,"Neighborhood 104 is an urban neighborhood. The neighborhood population is approximately 80% Hispanic residents. The median household income is about $45,000. It includes aging housing stock with many buildings needing repair. The commercial area features liquor stores and check-cashing shops.",hispanic_80,45000,aging_housing_stock,liquor_check_cash
105,"Neighborhood 105 is an urban neighborhood. The neighborhood population is approximately 80% Hispanic residents. The median household income is about $45,000. It includes aging housing stock with many buildings needing repair. The area has mixed retail, including grocery stores, pharmacies, and small businesses.",hispanic_80,45000,aging_housing_stock,mixed_retail
106,"Neighborhood 106 is an urban neighborhood. The neighborhood population is approximately 80% Hispanic residents. The median household income is about $45,000. A substantial share of residences are public housing complexes. Residents mention local restaurants, cafés, and community parks.",hispanic_80,45000,public_housing,local_restaurants
107,"Neighborhood 107 is an urban neighborhood. The neighborhood population is approximately 80% Hispanic residents. The median household income is about $45,000. A substantial share of residences are public housing complexes. The commercial area features liquor stores and check-cashing shops.",hispanic_80,45000,public_housing,liquor_check_cash
108,"Neighborhood 108 is an urban neighborhood. The neighborhood population is approximately 80% Hispanic residents. The median household income is about $45,000. A substantial share of residences are public housing complexes. The area has mixed retail, including grocery stores, pharmacies, and small businesses.",hispanic_80,45000,public_housing,mixed_retail
109,"Neighborhood 109 is an urban neighborhood. The neighborhood population is approximately 80% Hispanic residents. The median household income is about $65,000. It is known for well-preserved historic homes and tree-lined streets. Residents mention local restaurants, cafés, and community parks.",hispanic_80,65000,historic_homes,local_restaurants
110,"Neighborhood 110 is an urban neighborhood. The neighborhood population is approximately 80% Hispanic residents. The median household income is about $65,000. It is known for well-preserved historic homes and tree-lined streets. The commercial area features liquor stores and check-cashing shops.",hispanic_80,65000,historic_homes,liquor_check_cash
111,"Neighborhood 111 is an urban neighborhood. The neighborhood population is approximately 80% Hispanic residents. The median household income is about $65,000. It is known for well-preserved historic homes and tree-lined streets. The area has mixed retail, including grocery stores, pharmacies, and small businesses.",hispanic_80,65000,historic_homes,mixed_retail
112,"Neighborhood 112 is an urban neighborhood. The neighborhood population is approximately 80% Hispanic residents. The median household income is about $65,000. It includes aging housing stock with many buildings needing repair. Residents mention local restaurants, cafés, and community parks.",hispanic_80,65000,aging_housing_stock,local_restaurants
113,"Neighborhood 113 is an urban neighborhood. The neighborhood population is approximately 80% Hispanic residents. The median household income is about $65,000. It includes aging housing stock with many buildings needing repair. The commercial area features liquor stores and check-cashing shops.",hispanic_80,65000,aging_housing_stock,liquor_check_cash
114,"Neighborhood 114 is an urban neighborhood. The neighborhood population is approximately 80% Hispanic residents. The median household income is about $65,000. It includes aging housing stock with many buildings needing repair. The area has mixed retail, including grocery stores, pharmacies, and small businesses.",hispanic_80,65000,aging_housing_stock,mixed_retail
115,"Neighborhood 115 is an urban neighborhood. The neighborhood population is approximately 80% Hispanic residents. The median household income is about $65,000. A substantial share of residences are public housing complexes. Residents mention local restaurants, cafés, and community parks.",hispanic_80,65000,public_housing,local_restaurants
116,"Neighborhood 116 is an urban neighborhood. The neighborhood population is approximately 80% Hispanic residents. The median household income is about $65,000. A substantial share of residences are public housing complexes. The commercial area features liquor stores and check-cashing shops.",hispanic_80,65000,public_housing,liquor_check_cash
117,"Neighborhood 117 is an urban neighborhood. The neighborhood population is approximately 80% Hispanic residents. The median household income is about $65,000. A substantial share of residences are public housing complexes. The area has mixed retail, including grocery stores, pharmacies, and small businesses.",hispanic_80,65000,public_housing,mixed_retail
118,"Neighborhood 118 is an urban neighborhood. The neighborhood population is approximately 80% Hispanic residents. The median household income is about $90,000. It is known for well-preserved historic homes and tree-lined streets. Residents mention local restaurants, cafés, and community parks.",hispanic_80,90000,historic_homes,local_restaurants
119,"Neighborhood 119 is an urban neighborhood. The neighborhood population is approximately 80% Hispanic residents. The median household income is about $90,000. It is known for well-preserved historic homes and tree-lined streets. The commercial area features liquor stores and check-cashing shops.",hispanic_80,90000,historic_homes,liquor_check_cash
